,Date,Time,Calendar Assignment,Share with group,Event Title,Color,start,end,calendarEventID
26,10/3/2020,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,2njme5dqndgrmqgso6nbq5dsu0
27,10/3/2020,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,1hm817c4t341mgv7cmo1v58hp4
28,10/3/2020,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,mu7439b4kluebk21a61nf6o9b0
29,10/3/2020,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,4kg5du3t13rg7gjpvk5iq73ldc
30,10/3/2020,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,s9l1hg1u0gsd2l36cht5ltotck
31,10/17/2020,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,40h8q31vdnf5gqaq57lhgg6c6g
32,10/17/2020,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,l2jr2dmp3oe684n8nsvba1r28k
33,10/17/2020,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,151c2tl7qplscp88nf4pik5ak4
34,10/17/2020,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,mu7i4v7molfr5t47jvr17uel3c
35,10/17/2020,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,9vpm9375ua8d5socpemmpnas8o
36,10/17/2020,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,litm5sdl3stf2n82v3crj48kg0
37,10/17/2020,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,amkckp4atpqlq6ddmoh277hssg
38,10/24/2020,2:30 pm - 4 pm,"ec, board","ec, board",EC + board Meeting,1,2:30 pm,4 pm,4qusbg1btfj92undnhtctc9tvc
39,10/24/2020,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,8jj2544mk961rthdo04ft5g61c
40,10/24/2020,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,iskpc7r4q5m4ddu39cgg8ut1cg
41,10/24/2020,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,ek7me6ol9hmklqab5d2ckng0lg
42,10/24/2020,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,bbuoauevkn6glfq48ao3uohcig
43,10/24/2020,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,05rhb07qfdaulp625djn8g7jfc
44,10/24/2020,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,7g74o1e4q6mgjsd13e51k83bck
45,10/24/2020,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,1805f053k9fpnbg82g0a0ltbtc
46,10/31/2020,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,l5ajp2ejfgkdc9hmsm1sojo8r4
