,Date,Time,Calendar Assignment,Share with group,Event Title,Color,start,end,calendarEventID
94,1/23/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,4rp257u7fumrq3km9hut3i5dag
95,1/23/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,vvje9gnvc7s0tbdarrsft05qvs
96,1/23/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,rncdugc95akbklt3hedcroel28
97,1/23/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,7jt1lvhhs1m535msumi1velu84
98,1/30/2021,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,utieqh56butafltpub3iir8ce8
99,1/30/2021,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,com5qgrpjgkolmiqechdv7clss
100,1/30/2021,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,7oi38p3br3vi6ac4t3qahin65o
101,1/30/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,oe34ipl6c26vclavt87ihl74a8
102,1/30/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,vs9rsje3qqd6buj8au677tf6so
103,1/30/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,k73hqtvcv4bauu8bvknetqlb24
104,1/30/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,uhl3lgal0p4kdag2oqdoqqha1k
105,2/6/2021,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,9785eopc0e70ncoujsimgpfcl8
106,2/6/2021,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,84l43dlvldudrk0sqo930q4vp0
107,2/6/2021,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,5nn4flkqec0b130ov2i2uc8cos
108,2/6/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,h47t4unko735es6d04blnl0q0s
109,2/6/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,09a026711ieaoornq36v54ir0c
110,2/6/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,i457kcb8a0o1cnmlqpi28at300
111,2/6/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,rrhlk5ittnk6ep3qe41to3btt0
112,2/20/2021,2:30 pm - 4 pm,"ec, board","ec, board",EC + board Meeting,1,2:30 pm,4 pm,qce9719upms3mulbqrb8j6c6p4
113,2/20/2021,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,c1g9epcdt95dsr83p5tm6j5ajo
114,2/20/2021,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,t7qmg6cq0b6hfqc0fn272gjjeg
115,2/20/2021,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,8c0diipm5hmsl8tn2j6gnbt9hk
116,2/20/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,3frk33dv0ggnuqith727ft44o8
117,2/20/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,clujbimfv0g24v8k0p7cvicqt0
118,2/20/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,7j1piepc8aangeig3j2ee5irs4
119,2/22/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,jn7thm01upsrlk3lp0b78gv8q8
120,2/27/2021,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,ni0dmqm557i96349a3hpn4qves
121,2/27/2021,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,qsprqerjldkse2gtjc0dovoa5k
122,2/27/2021,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,aph5gg102t7kh8n8pt50nm4n3s
123,2/27/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,60cfn8ldpl6d1s09s1r2dug668
124,2/27/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,dalit8m3dkc2h4ib1oc9uf9rko
125,2/27/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,q781anuqkt72tkh47ol8tie5hg
126,2/27/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,46duo8ni5btl2cmago73p0oqpg
127,3/6/2021,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,v0dutobs2crnds8l85vm67o500
128,3/6/2021,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,bvjjk7qsm24kggvu6u2tgm90nk
129,3/6/2021,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,l0efuuhii323hprkp2on53slq8
130,3/6/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,vrsd8naggqtmfna4j05mvnjf1g
131,3/6/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,t47mc7snkidsnqdvqsv3q0bmfg
132,3/6/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,herd1rqp70psm4ajqaba94dodc
133,3/6/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,nv144aolk6bu2o1b4igqjo7e34
134,3/13/2021,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,bliaub6e8nhhapof2gqpr73uns
135,3/13/2021,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,47t99rorudfmbs739ok1g5gtcs
136,3/13/2021,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,11s9ua8uk03mvpqu9ogdrkslek
137,3/13/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,nud60usda4mf7tql41r58sl5dg
138,3/13/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,cm9iq27306h50mtj7u2njmbkqg
139,3/13/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,q9f8rgp99unbd34hpkr007r8us
140,3/13/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,sgn5lj3rllnlapivmo92vi9774
141,3/20/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,u7rgi8nu2u5tuvkv52mlr9sp60
142,3/20/2021,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,6q71pfdnen61aslo1o438jshdk
143,3/20/2021,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,7luj5m174oakbs5k1von87sdvo
144,3/20/2021,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,skclqu6tdps199ifdu65f6ohrc
145,3/20/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,cl794slksejndqie49itc7hd3s
146,3/20/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,t7ned9l6n5ussp1ovkhuu0h8hg
147,3/20/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,fmjg09h1lm8k3du8doq8cdvm8o
